t_s,v_linear_mps,v_angular_radps,target
-0.4531,0.00000,-0.00000,0.00000
-0.4027,0.00000,-0.00000,0.00000
-0.3525,0.00000,-0.00000,0.00000
-0.3021,0.00000,-0.00000,0.00000
-0.2518,0.00000,-0.00000,0.00000
-0.2014,0.00000,-0.00000,0.00000
-0.1511,0.00000,-0.00000,0.00000
-0.1008,0.00000,-0.00000,0.00000
-0.0505,0.00000,-0.00000,0.00000
-0.0002,0.00000,-0.00000,0.00000
0.0501,0.00000,-0.00000,0.15000
0.1004,0.00000,-0.00000,0.15000
0.1507,0.00000,-0.00000,0.15000
0.2011,0.04815,0.01538,0.15000
0.2516,0.10494,0.06596,0.15000
0.3019,0.12888,0.07334,0.15000
0.3526,0.15544,0.04442,0.15000
0.4030,0.16744,0.04114,0.15000
0.4534,0.17741,0.03798,0.15000
0.5038,0.18129,0.03798,0.15000
0.5544,0.18656,0.03400,0.15000
0.6047,0.19126,0.01666,0.15000
0.6551,0.19747,0.01540,0.15000
0.7055,0.20220,0.03262,0.15000
0.7561,0.20697,0.04982,0.15000
0.8065,0.20806,0.06486,0.15000
0.8568,0.20982,0.06367,0.15000
0.9074,0.20768,0.06994,0.15000
0.9580,0.20479,0.06991,0.15000
1.0084,0.20328,0.07300,0.15000
1.0588,0.20232,0.07495,0.15000
1.1091,0.20093,0.06749,0.15000
1.1597,0.19941,0.03272,0.15000
1.2101,0.19659,0.02572,0.15000
1.2604,0.19405,0.02649,0.15000
1.3108,0.19316,0.02266,0.15000
1.3613,0.19050,0.04920,0.15000
1.4117,0.19045,0.04348,0.15000
1.4621,0.18956,0.02340,0.15000
1.5124,0.18902,0.02115,0.15000
1.5630,0.18953,0.02822,0.15000
1.6134,0.18980,0.03149,0.15000
1.6637,0.19144,0.04824,0.15000
1.7141,0.19131,0.04700,0.15000
1.7647,0.19071,0.06603,0.15000
1.8151,0.18861,0.07110,0.15000
1.8654,0.18284,0.07430,0.15000
1.9158,0.17836,0.08085,0.15000
1.9664,0.17319,0.07195,0.15000
2.0167,0.17088,0.06830,0.00000
2.0671,0.16869,0.04838,0.00000
2.1175,0.16714,0.03339,0.00000
2.1681,0.16559,0.02963,0.00000
2.2185,0.14911,0.02022,0.00000
2.2689,0.09381,-0.03170,0.00000
2.3193,0.04997,-0.02351,0.00000
2.3699,0.01327,-0.00237,0.00000
2.4203,0.00279,0.00853,0.00000
2.4707,-0.00028,0.00412,0.00000
2.5210,-0.00014,0.00202,0.00000
2.5713,-0.00005,0.00069,0.00000
2.6216,-0.00002,0.00034,0.00000
2.6218,-0.00001,0.00012,0.00000
2.6721,-0.00000,0.00006,0.00000
2.7224,-0.00000,0.00002,0.00000
2.7728,-0.00000,0.00001,0.00000
2.8231,-0.00000,0.00000,0.00000
2.8735,-0.00000,0.00000,0.00000
2.9238,-0.00000,0.00000,0.00000
2.9742,-0.00000,0.00000,0.00000
3.0246,-0.00000,0.00000,0.00000
