t_s,v_linear_mps,v_angular_radps,target
-0.4535,-0.00000,-0.00000,0.00000
-0.4031,-0.00000,-0.00000,0.00000
-0.3527,-0.00000,-0.00000,0.00000
-0.3023,-0.00000,-0.00000,0.00000
-0.2519,-0.00000,-0.00000,0.00000
-0.2015,-0.00000,-0.00000,0.00000
-0.1512,-0.00000,-0.00000,0.00000
-0.1008,-0.00000,-0.00000,0.00000
-0.0505,-0.00000,-0.00000,0.00000
-0.0001,-0.00000,-0.00000,0.00000
0.0503,-0.00000,-0.00000,2.00000
0.1006,-0.00000,-0.00000,2.00000
0.1510,-0.00057,0.18803,2.00000
0.2013,0.00355,0.87329,2.00000
0.2517,0.02057,1.48282,2.00000
0.3020,0.03007,1.68956,2.00000
0.3525,0.03323,1.82573,2.00000
0.4030,0.02931,1.88035,2.00000
0.4533,0.02609,2.01659,2.00000
0.5036,0.02946,2.12650,2.00000
0.5544,0.03941,2.32284,2.00000
0.6047,0.04050,2.47659,2.00000
0.6550,0.03623,2.66193,2.00000
0.7054,0.03232,2.80912,2.00000
0.7560,0.02957,2.94476,2.00000
0.8063,0.03351,3.01608,2.00000
0.8567,0.04477,3.10195,2.00000
0.9070,0.05261,3.14328,2.00000
0.9577,0.05430,3.22568,2.00000
1.0080,0.04626,3.25235,2.00000
1.0586,0.02852,3.31340,2.00000
1.1089,0.02289,3.34765,2.00000
1.1595,0.03281,3.35689,2.00000
1.2099,0.04749,3.34964,2.00000
1.2603,0.05630,3.33926,2.00000
1.3106,0.04592,3.28687,2.00000
1.3612,0.02311,3.26686,2.00000
1.4115,0.01424,3.25709,2.00000
1.4619,0.02079,3.26007,2.00000
1.5123,0.03904,3.25407,2.00000
1.5629,0.06174,3.25667,2.00000
1.6132,0.06195,3.22135,2.00000
1.6636,0.03968,3.21662,2.00000
1.7139,0.02315,3.25170,2.00000
1.7646,0.01199,3.31553,2.00000
1.8149,0.02095,3.30659,2.00000
1.8653,0.05006,3.29686,2.00000
1.9155,0.06337,3.30883,2.00000
1.9660,0.05278,3.21695,2.00000
2.0163,0.03466,3.22068,0.00000
2.0665,0.01035,3.28542,0.00000
2.1168,0.00810,3.30739,0.00000
2.1674,0.02967,3.27118,0.00000
2.2177,0.05390,3.27074,0.00000
2.2684,0.07529,3.24131,0.00000
2.3188,0.06865,3.19833,0.00000
2.3695,0.03612,3.13681,0.00000
2.4199,0.01558,3.21616,0.00000
2.4702,0.00571,3.28790,0.00000
2.5206,0.02073,3.22923,0.00000
2.5713,0.06431,3.22531,0.00000
2.6216,0.08435,3.23901,0.00000
2.6720,0.07491,3.13778,0.00000
2.7224,0.04653,3.09870,0.00000
2.7729,0.00552,3.23039,0.00000
2.8232,-0.00626,3.34178,0.00000
2.8735,0.01653,3.29029,0.00000
2.9238,0.04762,3.26538,0.00000
2.9743,0.08641,3.33571,0.00000
3.0247,0.08964,3.30280,0.00000
3.0750,0.05005,3.15134,0.00000
3.1254,0.01510,3.16858,0.00000
3.1759,-0.01263,3.39953,0.00000
3.2262,-0.01458,3.06343,0.00000
3.2766,0.02124,1.63272,0.00000
3.3270,0.03360,0.85359,0.00000
3.3774,0.02247,0.15820,0.00000
3.4278,0.01181,-0.02732,0.00000
3.4782,-0.00232,-0.08971,0.00000
3.5285,-0.00485,-0.08099,0.00000
3.5789,-0.00262,-0.03735,0.00000
3.6292,-0.00129,-0.01830,0.00000
3.6796,-0.00044,-0.00628,0.00000
3.7299,-0.00022,-0.00308,0.00000
3.7802,-0.00007,-0.00106,0.00000
3.8306,-0.00004,-0.00052,0.00000
3.8809,-0.00001,-0.00018,0.00000
3.8812,-0.00001,-0.00009,0.00000
3.9315,-0.00000,-0.00003,0.00000
3.9818,-0.00000,-0.00001,0.00000
4.0321,-0.00000,-0.00001,0.00000
