t_s,v_linear_mps,v_angular_radps,target
-0.4536,-0.00000,-0.00000,0.00000
-0.4031,-0.00000,-0.00000,0.00000
-0.3527,-0.00000,-0.00000,0.00000
-0.3024,-0.00000,-0.00000,0.00000
-0.2520,-0.00000,-0.00000,0.00000
-0.2016,-0.00000,-0.00000,0.00000
-0.1512,-0.00000,-0.00000,0.00000
-0.1009,-0.00000,-0.00000,0.00000
-0.0505,-0.00000,-0.00000,0.00000
-0.0002,-0.00000,-0.00000,0.00000
0.0502,-0.00000,-0.00000,0.15000
0.1006,-0.00000,-0.00000,0.15000
0.1510,-0.00000,-0.00000,0.15000
0.2013,0.06800,0.02553,0.15000
0.2517,0.09970,-0.01826,0.15000
0.3021,0.12849,-0.02541,0.15000
0.3527,0.14430,-0.01815,0.15000
0.4030,0.16141,0.00967,0.15000
0.4533,0.16843,0.02411,0.15000
0.5037,0.17399,0.05248,0.15000
0.5543,0.17653,0.04509,0.15000
0.6046,0.17689,0.04151,0.15000
0.6550,0.17795,0.03971,0.15000
0.7053,0.17737,0.05903,0.15000
0.7560,0.17608,0.06596,0.15000
0.8063,0.17604,0.06114,0.15000
0.8565,0.17576,0.04762,0.15000
0.9068,0.17582,0.03440,0.15000
0.9572,0.17566,0.03794,0.15000
1.0075,0.17523,0.03347,0.15000
1.0577,0.17520,0.04375,0.15000
1.1080,0.17518,0.06492,0.15000
1.1585,0.17460,0.06486,0.15000
1.2087,0.17372,0.06766,0.15000
1.2590,0.17292,0.04854,0.15000
1.3094,0.16983,0.06776,0.15000
1.3599,0.16941,0.06796,0.15000
1.4103,0.16914,0.06364,0.15000
1.4607,0.16874,0.06594,0.15000
1.5111,0.16518,0.07532,0.15000
1.5615,0.16387,0.08135,0.15000
1.6119,0.16226,0.09309,0.15000
1.6622,0.16228,0.08835,0.15000
1.7125,0.16063,0.07332,0.15000
1.7630,0.15872,0.07068,0.15000
1.8134,0.15679,0.06846,0.15000
1.8637,0.15800,0.06830,0.15000
1.9141,0.15842,0.06485,0.15000
1.9647,0.15919,0.07052,0.15000
2.0150,0.15814,0.07809,0.00000
2.0653,0.15769,0.09068,0.00000
2.1157,0.15610,0.08660,0.00000
2.1663,0.15474,0.07548,0.00000
2.2167,0.15411,0.06042,0.00000
2.2672,0.15594,0.06835,0.00000
2.3176,0.15606,0.07336,0.00000
2.3682,0.15672,0.06500,0.00000
2.4185,0.14950,0.03477,0.00000
2.4688,0.14048,0.04382,0.00000
2.5191,0.12978,0.05526,0.00000
2.5696,0.12419,0.08120,0.00000
2.6199,0.11293,0.11691,0.00000
2.6702,0.10817,0.13876,0.00000
2.7205,0.09974,0.20193,0.00000
2.7710,0.09394,0.24995,0.00000
2.8213,0.09112,0.24105,0.00000
2.8717,0.08818,0.21498,0.00000
2.9221,0.08722,0.18724,0.00000
2.9726,0.08278,0.20399,0.00000
3.0230,0.07604,0.22079,0.00000
3.0734,0.07164,0.24949,0.00000
3.1237,0.06254,0.26147,0.00000
3.1744,0.05863,0.24435,0.00000
3.2248,0.01684,0.12142,0.00000
3.2752,-0.01151,0.02075,0.00000
3.3256,-0.03244,-0.05248,0.00000
3.3760,-0.03612,-0.08383,0.00000
3.4264,-0.03085,-0.09394,0.00000
3.4767,-0.02214,-0.06939,0.00000
3.5271,-0.01088,-0.04306,0.00000
3.5775,-0.00630,-0.01939,0.00000
3.6279,-0.00456,0.01722,0.00000
3.6782,-0.00555,0.04149,0.00000
3.7286,-0.00536,0.04876,0.00000
3.7789,-0.00400,0.03757,0.00000
3.8293,-0.00137,0.01289,0.00000
3.8797,-0.00067,0.00631,0.00000
3.9300,-0.00023,0.00217,0.00000
3.9804,-0.00011,0.00106,0.00000
4.0307,-0.00004,0.00036,0.00000
