t_s,v_linear_mps,v_angular_radps,target
-0.4534,0.00000,-0.00000,0.00000
-0.4030,0.00000,-0.00000,0.00000
-0.3527,0.00000,-0.00000,0.00000
-0.3023,0.00000,-0.00000,0.00000
-0.2519,0.00000,-0.00000,0.00000
-0.2016,0.00000,-0.00000,0.00000
-0.1513,0.00000,-0.00000,0.00000
-0.1009,0.00000,-0.00000,0.00000
-0.0506,0.00000,-0.00000,0.00000
-0.0003,0.00000,-0.00000,0.00000
0.0501,0.00000,-0.00000,0.30000
0.1004,0.00000,-0.00000,0.30000
0.1508,0.00000,-0.00000,0.30000
0.2011,0.05369,0.01709,0.30000
0.2514,0.14105,0.07275,0.30000
0.3018,0.17662,0.06642,0.30000
0.3524,0.21767,0.05902,0.30000
0.4028,0.24043,0.04259,0.30000
0.4531,0.26290,0.03677,0.30000
0.5034,0.27117,0.06246,0.30000
0.5541,0.28066,0.07703,0.30000
0.6044,0.28529,0.08618,0.30000
0.6548,0.29050,0.09303,0.30000
0.7051,0.29206,0.09402,0.30000
0.7558,0.29299,0.08045,0.30000
0.8061,0.29271,0.08215,0.30000
0.8565,0.29224,0.08949,0.30000
0.9069,0.29291,0.09228,0.30000
0.9574,0.29225,0.11501,0.30000
1.0078,0.29177,0.13213,0.30000
1.0581,0.29175,0.14105,0.30000
1.1085,0.29291,0.12325,0.30000
1.1591,0.29533,0.09498,0.30000
1.2094,0.29790,0.09098,0.30000
1.2598,0.29966,0.08283,0.30000
1.3101,0.30049,0.08503,0.30000
1.3606,0.30088,0.08876,0.30000
1.4110,0.30029,0.08794,0.30000
1.4613,0.29854,0.07609,0.30000
1.5117,0.29742,0.05665,0.30000
1.5623,0.29773,0.05009,0.30000
1.6127,0.29583,0.05930,0.30000
1.6630,0.29604,0.10091,0.30000
1.7134,0.29638,0.13662,0.30000
1.7641,0.29567,0.16595,0.30000
1.8145,0.29483,0.16279,0.30000
1.8648,0.28733,0.13920,0.30000
1.9152,0.27962,0.16676,0.30000
1.9659,0.27269,0.21772,0.30000
2.0162,0.26705,0.23659,0.00000
2.0666,0.26299,0.20690,0.00000
2.1169,0.26212,0.16690,0.00000
2.1676,0.25434,0.28100,0.00000
2.2180,0.25143,0.32230,0.00000
2.2685,0.23570,0.22103,0.00000
2.3189,0.22539,0.20859,0.00000
2.3696,0.21760,0.22744,0.00000
2.4199,0.22446,0.06415,0.00000
2.4703,0.23376,-0.20551,0.00000
2.5207,0.24306,-0.26365,0.00000
2.5713,0.25630,-0.27590,0.00000
2.6217,0.26348,-0.24003,0.00000
2.6721,0.26983,-0.12181,0.00000
2.7224,0.27148,-0.01524,0.00000
2.7729,0.27007,0.10138,0.00000
2.8232,0.26999,0.10209,0.00000
2.8734,0.27195,0.07923,0.00000
2.9237,0.27464,0.04281,0.00000
2.9742,0.27854,-0.01027,0.00000
3.0245,0.28368,0.01035,0.00000
3.0749,0.29206,0.09392,0.00000
3.0751,0.29808,0.15029,0.00000
3.1257,0.31048,0.24561,0.00000
3.1761,0.31778,0.28103,0.00000
3.2264,0.31039,0.31809,0.00000
3.2768,0.28329,0.30913,0.00000
3.3271,0.23099,0.31415,0.00000
3.3775,0.19756,0.33229,0.00000
3.4278,0.15050,0.38291,0.00000
3.4782,0.12121,0.42408,0.00000
3.5285,0.08123,0.48915,0.00000
3.5789,0.06236,0.46473,0.00000
3.6292,0.04110,0.35604,0.00000
3.6795,0.02911,0.26391,0.00000
3.7298,0.01258,0.11645,0.00000
3.7801,0.00617,0.05706,0.00000
3.8304,0.00211,0.01957,0.00000
3.8807,0.00104,0.00959,0.00000
3.9310,0.00036,0.00329,0.00000
3.9813,0.00017,0.00161,0.00000
4.0316,0.00006,0.00055,0.00000
