t_s,v_linear_mps,v_angular_radps,target
-0.4534,0.00000,-0.00000,0.00000
-0.4030,0.00000,-0.00000,0.00000
-0.3526,0.00000,-0.00000,0.00000
-0.3023,0.00000,-0.00000,0.00000
-0.2519,0.00000,-0.00000,0.00000
-0.2015,0.00000,-0.00000,0.00000
-0.1511,0.00000,-0.00000,0.00000
-0.1008,0.00000,-0.00000,0.00000
-0.0505,0.00000,-0.00000,0.00000
-0.0002,0.00000,-0.00000,0.00000
0.0502,0.00000,-0.00000,1.00000
0.1006,0.00000,-0.00000,1.00000
0.1509,0.00114,0.11396,1.00000
0.2012,0.00656,0.51451,1.00000
0.2516,0.00987,0.63999,1.00000
0.3019,0.01221,0.53524,1.00000
0.3527,0.01447,0.33588,1.00000
0.4030,0.01486,0.26942,1.00000
0.4534,0.01380,0.24956,1.00000
0.5037,0.01162,0.27897,1.00000
0.5543,0.01235,0.31750,1.00000
0.6046,0.01285,0.37038,1.00000
0.6550,0.01738,0.44469,1.00000
0.7053,0.01880,0.49481,1.00000
0.7559,0.01976,0.54987,1.00000
0.8063,0.01962,0.60446,1.00000
0.8567,0.02038,0.66794,1.00000
0.9070,0.02375,0.72784,1.00000
0.9577,0.02525,0.83333,1.00000
1.0080,0.02402,0.89606,1.00000
1.0584,0.02382,1.02560,1.00000
1.1087,0.02407,1.11050,1.00000
1.1593,0.02445,1.26407,1.00000
1.2097,0.02072,1.34927,1.00000
1.2600,0.01557,1.49580,1.00000
1.3103,0.01786,1.59843,1.00000
1.3609,0.02239,1.73949,1.00000
1.4112,0.02342,1.84376,1.00000
1.4615,0.01928,1.99844,1.00000
1.5119,0.01624,2.10796,1.00000
1.5625,0.01730,2.28193,1.00000
1.6128,0.02013,2.41951,1.00000
1.6632,0.02681,2.65083,1.00000
1.7135,0.02885,2.78431,1.00000
1.7641,0.02645,2.95572,1.00000
1.8144,0.02827,3.03114,1.00000
1.8648,0.03558,3.10826,1.00000
1.9152,0.04302,3.11955,1.00000
1.9658,0.04727,3.13539,1.00000
2.0161,0.04321,3.13475,0.00000
2.0665,0.03592,3.13581,0.00000
2.1168,0.03525,3.14274,0.00000
2.1675,0.04218,3.17148,0.00000
2.2179,0.04900,3.20067,0.00000
2.2684,0.04761,3.19414,0.00000
2.3188,0.04315,3.17702,0.00000
2.3692,0.05421,3.03986,0.00000
2.4195,0.08117,2.72025,0.00000
2.4698,0.07036,2.77797,0.00000
2.5201,0.07223,2.84775,0.00000
2.5706,0.13014,2.36224,0.00000
2.6209,0.15527,1.98937,0.00000
2.6713,0.17017,1.73513,0.00000
2.7219,0.17831,1.72766,0.00000
2.7724,0.19503,1.80319,0.00000
2.8227,0.20317,1.87143,0.00000
2.8732,0.20267,1.93569,0.00000
2.9237,0.19875,1.94046,0.00000
2.9743,0.19771,1.95771,0.00000
3.0246,0.20038,1.99171,0.00000
3.0750,0.20241,2.01660,0.00000
3.1254,0.20308,2.02455,0.00000
3.1760,0.20408,2.03527,0.00000
3.2264,0.19105,1.90550,0.00000
3.2767,0.13285,1.31954,0.00000
3.3270,0.08292,0.82434,0.00000
3.3774,0.02439,0.24230,0.00000
3.4277,0.00515,0.05092,0.00000
3.4781,-0.00545,-0.05450,0.00000
3.5285,-0.00638,-0.06374,0.00000
3.5788,-0.00400,-0.03992,0.00000
3.6292,-0.00196,-0.01956,0.00000
3.6797,-0.00067,-0.00671,0.00000
3.7300,-0.00033,-0.00329,0.00000
3.7804,-0.00011,-0.00113,0.00000
3.7806,-0.00006,-0.00055,0.00000
3.8309,-0.00002,-0.00019,0.00000
3.8812,-0.00001,-0.00009,0.00000
3.9315,-0.00000,-0.00003,0.00000
3.9819,-0.00000,-0.00002,0.00000
4.0322,-0.00000,-0.00001,0.00000
