t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4532,0.00000,0.00000,0.00109,0.00000
-0.4027,0.00000,0.00000,0.00000,0.00000
-0.3524,0.00000,0.00000,-0.00109,0.00000
-0.3020,0.00000,0.00000,-0.00218,0.00000
-0.2518,0.00000,0.00000,0.00109,0.00000
-0.2015,0.00000,0.00000,0.00000,0.00000
-0.1512,0.00000,0.00000,0.00218,0.00000
-0.1008,0.00000,0.00000,0.00109,0.00000
-0.0505,0.00000,0.00000,-0.00109,0.00000
-0.0002,0.00000,0.00000,0.00109,0.00000
0.0503,0.00000,0.00000,0.00218,2.00000
0.1006,0.00000,0.00000,0.00000,2.00000
0.1510,0.00000,0.00000,0.00109,2.00000
0.2014,-0.00862,0.85369,-0.00654,2.00000
0.2517,-0.00525,1.32311,-0.41779,2.00000
0.3021,0.01045,1.55685,-0.66759,2.00000
0.3527,0.02162,1.59394,-0.47124,2.00000
0.4031,0.02868,1.57692,-0.38615,2.00000
0.4534,0.02902,1.60342,-0.45379,2.00000
0.5038,0.03066,1.70270,-0.51269,2.00000
0.5546,0.03290,1.82174,-0.52142,2.00000
0.6050,0.03101,2.01756,-0.48433,2.00000
0.6554,0.02919,2.15037,-0.68941,2.00000
0.7058,0.02991,2.39511,-0.73849,2.00000
0.7563,0.02922,2.58152,-0.77667,2.00000
0.8066,0.02558,2.83238,-0.95448,2.00000
0.8570,0.02556,2.98557,-1.05483,2.00000
0.9073,0.02588,3.14373,-1.09083,2.00000
0.9580,0.02708,3.19049,-1.17264,2.00000
1.0084,0.02641,3.25823,-1.14646,2.00000
1.0588,0.02751,3.25282,-1.10937,2.00000
1.1091,0.03224,3.22271,-1.14974,2.00000
1.1598,0.03465,3.20412,-1.21300,2.00000
1.2102,0.03091,3.20161,-1.21300,2.00000
1.2605,0.02371,3.19948,-1.40281,2.00000
1.3109,0.01610,3.24484,-1.52716,2.00000
1.3616,0.02086,3.26563,-1.50426,2.00000
1.4119,0.03863,3.26927,-1.26973,2.00000
1.4623,0.04863,3.26226,-1.00575,2.00000
1.5127,0.04485,3.25270,-0.93593,2.00000
1.5633,0.03174,3.26725,-1.21846,2.00000
1.6137,0.01646,3.32467,-1.43990,2.00000
1.6641,0.02235,3.30311,-1.26755,2.00000
1.7144,0.04763,3.24734,-1.03847,2.00000
1.7650,0.05846,3.22797,-0.90757,2.00000
1.8154,0.04632,3.16787,-0.97848,2.00000
1.8657,0.02607,3.20403,-1.27845,2.00000
1.9161,0.00269,3.32139,-1.42244,2.00000
1.9667,0.00686,3.34649,-1.43662,2.00000
2.0171,0.03545,3.27312,-1.29263,2.00000
2.0674,0.05752,3.27156,-1.14319,2.00000
2.1178,0.06073,3.26256,-1.02320,2.00000
2.1687,0.03827,3.24701,-1.28936,2.00000
2.2191,-0.00192,3.44080,-1.51844,2.00000
2.2695,-0.01362,3.54809,-1.49226,2.00000
2.3198,0.01110,3.45131,-1.31336,2.00000
2.3705,0.04788,3.38944,-1.13228,2.00000
2.4209,0.08432,3.44035,-0.87376,2.00000
2.4713,0.07799,3.33698,-1.00684,2.00000
2.5218,0.02678,3.31845,-1.49007,2.00000
2.5724,-0.00122,3.49661,-1.61988,2.00000
2.6229,-0.01420,3.57490,-1.60788,2.00000
2.6733,0.01263,3.47641,-1.46935,2.00000
2.7236,0.07445,3.51162,-1.10937,2.00000
2.7741,0.10383,3.59810,-0.88030,2.00000
2.8244,0.09355,3.40305,-1.01447,2.00000
2.8747,0.04853,3.29991,-1.42463,2.00000
2.9250,-0.00494,3.54931,-1.54789,2.00000
2.9755,-0.02069,3.65321,-1.46826,2.00000
2.9757,-0.00087,3.52726,-1.67770,2.00000
3.0260,0.04173,3.43654,-0.92721,0.00000
3.0763,0.09720,3.59714,-1.03411,0.00000
3.1268,0.11931,3.64798,-0.61632,0.00000
3.1772,0.09114,2.94838,-0.67522,0.00000
3.2275,0.05254,1.95864,-1.36354,0.00000
3.2778,-0.00107,0.85551,-0.90648,0.00000
3.3282,-0.01377,0.44313,-0.23562,0.00000
3.3786,-0.00692,0.07194,0.10472,0.00000
3.4289,0.00123,-0.03825,0.10472,0.00000
3.4793,0.00582,-0.06691,0.03709,0.00000
3.5297,0.00519,-0.05614,-0.06109,0.00000
3.5800,0.00206,-0.02205,0.00873,0.00000
3.6304,0.00101,-0.01080,0.02291,0.00000
3.6808,0.00035,-0.00371,-0.01963,0.00000
3.7312,0.00017,-0.00182,0.01636,0.00000
3.7816,0.00006,-0.00062,-0.00654,0.00000
3.8319,0.00003,-0.00031,-0.00218,0.00000
3.8823,0.00001,-0.00010,0.00436,0.00000
3.9327,0.00000,-0.00005,0.00109,0.00000
3.9830,0.00000,-0.00002,-0.00218,0.00000
4.0334,0.00000,-0.00001,0.00218,0.00000
