t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4539,-0.00000,-0.00000,0.00109,0.00000
-0.4034,-0.00000,-0.00000,0.00218,0.00000
-0.3530,-0.00000,-0.00000,0.00218,0.00000
-0.3025,-0.00000,-0.00000,-0.00000,0.00000
-0.2521,-0.00000,-0.00000,0.00109,0.00000
-0.2017,-0.00000,-0.00000,0.00109,0.00000
-0.1513,-0.00000,-0.00000,0.00436,0.00000
-0.1009,-0.00000,-0.00000,-0.00000,0.00000
-0.0505,-0.00000,-0.00000,0.00218,0.00000
-0.0001,-0.00000,-0.00000,0.00109,0.00000
0.0503,-0.00000,-0.00000,-0.00000,2.00000
0.1006,-0.00000,-0.00000,-0.00109,2.00000
0.1510,0.00057,0.21082,-0.00000,2.00000
0.2014,0.00725,1.01950,-0.00109,2.00000
0.2518,0.02583,1.92850,0.45597,2.00000
0.3022,0.03596,2.29647,0.56614,2.00000
0.3528,0.03643,2.63467,0.65341,2.00000
0.4031,0.03047,2.80716,0.78976,2.00000
0.4535,0.02923,3.05262,0.98720,2.00000
0.5038,0.03700,3.16351,0.96211,2.00000
0.5545,0.04624,3.27894,0.82249,2.00000
0.6049,0.04579,3.32113,0.84758,2.00000
0.6552,0.03616,3.36486,1.08974,2.00000
0.7055,0.03148,3.39400,1.23591,2.00000
0.7561,0.03573,3.43408,1.18464,2.00000
0.8065,0.04390,3.45698,1.07120,2.00000
0.8569,0.05201,3.48154,0.86612,2.00000
0.9072,0.05056,3.47856,0.90757,2.00000
0.9578,0.04069,3.45566,1.12465,2.00000
1.0081,0.03547,3.44476,1.20100,2.00000
1.0585,0.03499,3.41342,1.20428,2.00000
1.1089,0.04273,3.39673,1.07883,2.00000
1.1595,0.05276,3.39985,0.91193,2.00000
1.2098,0.05384,3.35929,0.88139,2.00000
1.2601,0.04369,3.32912,1.00793,2.00000
1.3105,0.03735,3.32407,1.22282,2.00000
1.3611,0.03454,3.33641,1.32209,2.00000
1.4115,0.04040,3.34929,1.19228,2.00000
1.4618,0.05431,3.35452,1.00793,2.00000
1.5121,0.05597,3.34278,0.90757,2.00000
1.5628,0.04264,3.30262,1.03629,2.00000
1.6131,0.02832,3.30368,1.24464,2.00000
1.6635,0.01614,3.30713,1.39626,2.00000
1.7139,0.02259,3.30988,1.21737,2.00000
1.7646,0.04543,3.32476,0.91630,2.00000
1.8149,0.05762,3.34930,0.84212,2.00000
1.8653,0.04997,3.35862,0.93702,2.00000
1.9157,0.03425,3.34650,1.22173,2.00000
1.9663,0.00974,3.38000,1.50535,2.00000
2.0166,0.00917,3.41737,1.58170,2.00000
2.0671,0.03802,3.39325,1.05047,2.00000
2.1174,0.06347,3.42728,0.81376,2.00000
2.1683,0.07393,3.42926,0.53996,2.00000
2.2186,0.05576,3.34636,0.80067,2.00000
2.2689,0.01487,3.35226,1.35045,2.00000
2.3192,-0.00283,3.38216,1.66243,2.00000
2.3698,0.00587,3.34180,1.49007,2.00000
2.4201,0.03903,3.30523,0.99157,2.00000
2.4704,0.08568,3.37137,0.79522,2.00000
2.5208,0.08911,3.34586,0.65341,2.00000
2.5713,0.04485,3.24687,1.31227,2.00000
2.6217,0.00941,3.35841,1.56425,2.00000
2.6721,-0.01912,3.55957,1.68206,2.00000
2.7225,-0.00760,3.48827,1.60679,2.00000
2.7731,0.04941,3.41142,1.11483,2.00000
2.8234,0.08241,3.48063,0.92612,2.00000
2.8738,0.08630,3.44862,0.71558,2.00000
2.9242,0.05257,3.35926,1.50207,2.00000
2.9748,-0.00510,3.56579,1.68097,2.00000
3.0252,-0.02912,3.73691,1.74969,0.00000
3.0756,-0.01752,3.66228,1.71042,0.00000
3.1260,0.02289,3.53983,0.98175,0.00000
3.1767,0.08797,3.60231,0.92939,0.00000
3.2270,0.12170,3.28643,0.51269,0.00000
3.2774,0.11149,1.88100,0.93811,0.00000
3.3278,0.06897,1.06470,0.81485,0.00000
3.3781,0.02046,0.35032,0.41997,0.00000
3.4285,0.00963,0.16767,-0.02400,0.00000
3.4789,0.00330,0.05751,-0.10254,0.00000
3.5292,0.00162,0.02818,-0.00545,0.00000
3.5796,0.00055,0.00967,0.05127,0.00000
3.6300,0.00027,0.00474,-0.01418,0.00000
3.6804,0.00009,0.00162,-0.00545,0.00000
3.7308,0.00005,0.00080,-0.00327,0.00000
3.7811,0.00002,0.00027,0.00109,0.00000
3.8315,0.00001,0.00013,0.00109,0.00000
3.8819,0.00000,0.00005,-0.00109,0.00000
3.9322,0.00000,0.00002,-0.00436,0.00000
3.9826,0.00000,0.00001,-0.00000,0.00000
3.9828,0.00000,0.00000,0.00218,0.00000
4.0332,0.00000,0.00000,-0.00109,0.00000
