t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4537,-0.00000,-0.00000,0.00327,0.00000
-0.4033,-0.00000,-0.00000,-0.00000,0.00000
-0.3529,-0.00000,-0.00000,-0.00000,0.00000
-0.3024,-0.00000,-0.00000,-0.00000,0.00000
-0.2521,-0.00000,-0.00000,0.00109,0.00000
-0.2016,-0.00000,-0.00000,-0.00000,0.00000
-0.1513,-0.00000,-0.00000,0.00109,0.00000
-0.1009,-0.00000,-0.00000,-0.00000,0.00000
-0.0505,-0.00000,-0.00000,-0.00218,0.00000
-0.0001,-0.00000,-0.00000,-0.00000,0.00000
0.0502,-0.00000,-0.00000,0.00109,2.00000
0.1006,-0.00000,-0.00000,-0.00000,2.00000
0.1512,-0.00000,-0.00000,0.00327,2.00000
0.2015,0.00102,1.00418,0.00218,2.00000
0.2519,0.01113,1.60894,0.46142,2.00000
0.3022,0.02692,2.15487,0.64468,2.00000
0.3528,0.03090,2.32078,0.66541,2.00000
0.4032,0.02878,2.49436,0.77231,2.00000
0.4535,0.02941,2.61476,0.81594,2.00000
0.5039,0.03376,2.81883,0.86612,2.00000
0.5546,0.03967,2.94070,0.83449,2.00000
0.6049,0.04112,3.08571,0.92939,2.00000
0.6553,0.03534,3.17004,1.06465,2.00000
0.7056,0.02838,3.24386,1.21737,2.00000
0.7562,0.03133,3.27090,1.27627,2.00000
0.8066,0.04607,3.33464,0.94248,2.00000
0.8569,0.05462,3.36779,0.80940,2.00000
0.9073,0.04912,3.38593,0.98066,2.00000
0.9579,0.03772,3.37926,1.21519,2.00000
1.0083,0.02465,3.39716,1.33518,2.00000
1.0586,0.02641,3.41211,1.28282,2.00000
1.1090,0.04634,3.41931,1.00247,2.00000
1.1596,0.05864,3.45942,0.72322,2.00000
1.2100,0.05898,3.45178,0.69922,2.00000
1.2603,0.04741,3.40981,1.00247,2.00000
1.3107,0.02652,3.40480,1.28173,2.00000
1.3613,0.01882,3.43127,1.39299,2.00000
1.4117,0.03044,3.38360,1.23918,2.00000
1.4620,0.04925,3.33367,0.83230,2.00000
1.5124,0.06749,3.31680,0.71013,2.00000
1.5631,0.06266,3.26390,0.85957,2.00000
1.6134,0.03462,3.25110,1.18246,2.00000
1.6638,0.01468,3.30920,1.44644,2.00000
1.7141,0.00442,3.37370,1.52716,2.00000
1.7646,0.01896,3.35218,1.36027,2.00000
1.8150,0.05733,3.39209,0.79740,2.00000
1.8653,0.07373,3.40392,0.60759,2.00000
1.9156,0.06201,3.30955,0.72867,2.00000
1.9661,0.03689,3.26263,1.22173,2.00000
2.0164,0.00182,3.32684,1.60461,2.00000
2.0668,-0.00847,3.37024,1.65043,2.00000
2.1172,0.01491,3.33384,1.14974,2.00000
2.1684,0.04700,3.35943,0.66432,2.00000
2.2187,0.08209,3.41309,0.52796,2.00000
2.2690,0.07918,3.35439,0.84212,2.00000
2.3196,0.03937,3.26516,1.24464,2.00000
2.3705,0.00849,3.31552,1.61225,2.00000
2.4209,-0.01743,3.48441,1.80642,2.00000
2.4713,-0.00580,3.43036,1.47808,2.00000
2.5217,0.05219,3.39181,0.83885,2.00000
2.5723,0.08766,3.49039,0.57487,2.00000
2.6226,0.09869,3.44058,0.36761,2.00000
2.6730,0.06429,3.30803,1.04611,2.00000
2.7234,0.00584,3.32892,1.43662,2.00000
2.7741,-0.02313,3.48240,1.83260,2.00000
2.8245,-0.02247,3.54746,1.75733,2.00000
2.8749,0.01538,3.43732,1.05156,2.00000
2.9253,0.08169,3.52704,0.89666,2.00000
2.9759,0.10395,3.62506,0.64250,2.00000
3.0263,0.07333,3.42358,1.12246,0.00000
3.0767,0.02828,3.38916,1.44862,0.00000
3.1270,-0.02383,3.65695,1.73442,0.00000
3.1777,-0.03835,3.78555,1.76715,0.00000
3.2281,-0.00428,3.14246,1.76715,0.00000
3.2784,0.04977,2.21670,0.91084,0.00000
3.3288,0.08812,1.27472,0.52360,0.00000
3.3291,0.06825,0.73116,0.08836,0.00000
3.3795,0.02270,0.11911,0.00109,0.00000
3.4298,0.00569,-0.03109,-0.08508,0.00000
3.4802,-0.00373,-0.07294,-0.01418,0.00000
3.5306,-0.00223,-0.03973,-0.01418,0.00000
3.5809,-0.00076,-0.01363,0.01418,0.00000
3.6313,-0.00037,-0.00668,-0.00218,0.00000
3.6817,-0.00013,-0.00229,0.00109,0.00000
3.7320,-0.00006,-0.00112,-0.00109,0.00000
3.7824,-0.00002,-0.00038,0.00109,0.00000
3.8327,-0.00001,-0.00019,0.00109,0.00000
3.8831,-0.00000,-0.00006,0.00109,0.00000
3.9335,-0.00000,-0.00003,0.00327,0.00000
3.9838,-0.00000,-0.00001,-0.00000,0.00000
4.0342,-0.00000,-0.00001,0.00109,0.00000
