t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4536,-0.00000,-0.00000,0.00109,0.00000
-0.4032,-0.00000,-0.00000,-0.00000,0.00000
-0.3528,-0.00000,-0.00000,-0.00000,0.00000
-0.3024,-0.00000,-0.00000,-0.00000,0.00000
-0.2519,-0.00000,-0.00000,0.00218,0.00000
-0.2016,-0.00000,-0.00000,-0.00109,0.00000
-0.1513,-0.00000,-0.00000,-0.00000,0.00000
-0.1009,-0.00000,-0.00000,0.00109,0.00000
-0.0505,-0.00000,-0.00000,-0.00109,0.00000
-0.0002,-0.00000,-0.00000,0.00109,0.00000
0.0501,-0.00000,-0.00000,-0.00000,2.00000
0.1005,-0.00000,-0.00000,-0.00218,2.00000
0.1509,-0.00000,-0.00000,-0.00000,2.00000
0.2012,0.00308,1.06343,0.00109,2.00000
0.2515,0.00579,1.69403,0.73522,2.00000
0.3027,0.00449,2.30918,0.92066,2.00000
0.3532,0.00740,2.55878,1.06247,2.00000
0.4047,0.02178,2.79370,1.00029,2.00000
0.4551,0.03049,2.88736,1.01775,2.00000
0.5055,0.02807,3.04382,1.11592,2.00000
0.5564,0.02078,3.14553,1.24246,2.00000
0.6070,0.00946,3.23478,1.35808,2.00000
0.6576,0.01006,3.27446,1.38754,2.00000
0.7080,0.02115,3.24840,1.18682,2.00000
0.7585,0.02938,3.24235,1.16283,2.00000
0.8090,0.03286,3.24189,1.19882,2.00000
0.8593,0.02781,3.25051,1.25664,2.00000
0.9097,0.01561,3.28904,1.41154,2.00000
0.9603,0.01096,3.33349,1.44426,2.00000
1.0107,0.01771,3.32294,1.40935,2.00000
1.0611,0.02861,3.31193,1.28936,2.00000
1.1115,0.03939,3.26981,1.25555,2.00000
1.1621,0.03798,3.23347,1.26645,2.00000
1.2125,0.02414,3.21671,1.40717,2.00000
1.2629,0.01611,3.25773,1.49444,2.00000
1.3133,0.01323,3.26187,1.52062,2.00000
1.3640,0.02042,3.24500,1.44644,2.00000
1.4143,0.03985,3.22012,1.23700,2.00000
1.4647,0.04557,3.20489,1.16828,2.00000
1.5151,0.03556,3.17013,1.23373,2.00000
1.5658,0.02137,3.18007,1.46499,2.00000
1.6161,0.00819,3.22280,1.54025,2.00000
1.6665,0.01190,3.22012,1.46826,2.00000
1.7169,0.04377,3.24470,1.13555,2.00000
1.7676,0.06491,3.31005,0.83667,2.00000
1.8179,0.06941,3.25846,0.67195,2.00000
1.8683,0.04869,3.15618,1.21846,2.00000
1.9187,0.00887,3.19330,1.41044,2.00000
1.9694,-0.00502,3.28088,1.56643,2.00000
2.0197,0.01332,3.28672,1.44099,2.00000
2.0701,0.04833,3.31045,0.93811,2.00000
2.1205,0.09052,3.45676,0.81158,2.00000
2.1712,0.09108,3.46125,0.61741,2.00000
2.2216,0.05111,3.30876,1.15083,2.00000
2.2719,0.01733,3.32891,1.32972,2.00000
2.3223,-0.01129,3.47381,1.66024,2.00000
2.3730,-0.00507,3.47530,1.77151,2.00000
2.4234,0.04693,3.45399,1.09738,2.00000
2.4738,0.08314,3.57107,0.97411,2.00000
2.5242,0.10148,3.63058,0.54869,2.00000
2.5748,0.07572,3.49799,0.72540,2.00000
2.6252,0.01698,3.43843,1.21409,2.00000
2.6756,-0.01339,3.54837,1.66788,2.00000
2.7260,-0.02594,3.63539,2.00822,2.00000
2.7767,0.01134,3.55391,1.54025,2.00000
2.8271,0.07946,3.66965,0.99702,2.00000
2.8775,0.10942,3.80259,0.65995,2.00000
2.9278,0.10362,3.81654,0.16472,2.00000
2.9783,0.06511,3.67804,1.12246,2.00000
3.0287,0.00169,3.62465,1.47262,0.00000
3.0790,-0.02596,3.69342,1.90350,0.00000
3.1293,-0.02926,3.72297,1.94495,0.00000
3.1798,0.01223,3.60252,1.10501,0.00000
3.2301,0.09410,3.29939,1.01229,0.00000
3.2804,0.15030,2.74827,0.57160,0.00000
3.3307,0.16260,1.96198,-0.04691,0.00000
3.3309,0.12132,1.32204,0.48542,0.00000
3.3812,0.04313,0.44383,0.28143,0.00000
3.4315,0.01588,0.17303,0.06109,0.00000
3.4820,0.00381,0.03161,-0.07636,0.00000
3.5324,0.00147,0.01150,-0.02727,0.00000
3.5826,0.00050,0.00394,0.00764,0.00000
3.6330,0.00025,0.00193,0.02509,0.00000
3.6833,0.00008,0.00066,-0.01745,0.00000
3.7337,0.00004,0.00032,-0.00327,0.00000
3.7840,0.00001,0.00011,-0.00000,0.00000
3.8344,0.00001,0.00005,-0.00545,0.00000
3.8848,0.00000,0.00002,0.00327,0.00000
3.9352,0.00000,0.00001,-0.00000,0.00000
3.9856,0.00000,0.00000,-0.00000,0.00000
4.0359,0.00000,0.00000,-0.00109,0.00000
