t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4538,0.00000,0.00000,0.00000,0.00000
-0.4034,0.00000,0.00000,-0.00000,0.00000
-0.3531,0.00000,0.00000,-0.00000,0.00000
-0.3027,0.00000,0.00000,-0.00218,0.00000
-0.2522,0.00000,0.00000,-0.00218,0.00000
-0.2018,0.00000,0.00000,-0.00109,0.00000
-0.1516,0.00000,0.00000,-0.00000,0.00000
-0.1013,0.00000,0.00000,-0.00109,0.00000
-0.0510,0.00000,0.00000,-0.00000,0.00000
-0.0002,0.00000,0.00000,-0.00000,0.00000
0.0506,0.00000,0.00000,-0.00218,2.00000
0.1010,0.00000,0.00000,0.00109,2.00000
0.1513,0.00000,0.00000,0.00218,2.00000
0.2017,0.00194,0.57205,0.02291,2.00000
0.2520,0.05624,1.03697,0.49851,2.00000
0.3024,0.06638,1.78433,0.45160,2.00000
0.3529,0.06634,2.22925,0.48324,2.00000
0.4033,0.09463,2.49384,0.59887,2.00000
0.4537,0.13599,2.21168,0.59450,2.00000
0.5040,0.16132,1.82765,0.44615,2.00000
0.5547,0.16815,1.74565,0.30216,2.00000
0.6051,0.18183,1.78731,0.30871,2.00000
0.6554,0.19260,1.87289,0.06872,2.00000
0.7058,0.20229,1.99573,-0.01200,2.00000
0.7565,0.20245,2.00863,0.08181,2.00000
0.8069,0.19942,1.98548,0.11563,2.00000
0.8573,0.19830,1.97626,0.06327,2.00000
0.9076,0.19921,2.00344,0.01091,2.00000
0.9583,0.19997,2.03349,0.01418,2.00000
1.0087,0.19532,2.07286,0.01091,2.00000
1.0590,0.19070,2.09087,0.05890,2.00000
1.1094,0.18731,2.13858,0.07199,2.00000
1.1601,0.18346,2.18688,0.07527,2.00000
1.2104,0.17281,2.26855,0.12763,2.00000
1.2608,0.14896,2.15206,0.26616,2.00000
1.3112,0.09901,1.80688,0.34688,2.00000
1.3619,0.09552,1.97307,0.35125,2.00000
1.4123,0.08343,2.26735,0.40797,2.00000
1.4627,0.04419,2.10469,0.57050,2.00000
1.5130,-0.03145,1.46045,0.62941,2.00000
1.5637,-0.06430,1.11103,0.40033,2.00000
1.6140,-0.09567,0.87913,0.23998,2.00000
1.6644,-0.10977,0.86437,0.29016,2.00000
1.7148,-0.12511,0.93867,0.32616,2.00000
1.7654,-0.13333,1.02346,0.35779,2.00000
1.8159,-0.13915,1.20269,0.41452,2.00000
1.8663,-0.14061,1.31179,0.48324,2.00000
1.9167,-0.14541,1.41936,0.58578,2.00000
1.9673,-0.14796,1.46069,0.59341,2.00000
2.0177,-0.14832,1.48570,0.60868,2.00000
2.0681,-0.14842,1.49491,0.61196,2.00000
2.1185,-0.14597,1.54986,0.63377,2.00000
2.1691,-0.14127,1.61352,0.67413,2.00000
2.2195,-0.13054,1.73669,0.70140,2.00000
2.2701,-0.12069,1.81561,0.73958,2.00000
2.3205,-0.10501,1.91779,0.75049,2.00000
2.3713,-0.09538,2.01260,0.80503,2.00000
2.4216,-0.07727,2.16747,0.83012,2.00000
2.4719,-0.06488,2.24548,0.86285,2.00000
2.5222,-0.04738,2.36870,0.89012,2.00000
2.5727,-0.03801,2.46602,0.94466,2.00000
2.6230,-0.02063,2.60548,1.01229,2.00000
2.6232,-0.00897,2.71365,0.98393,2.00000
2.6735,0.00979,2.86050,1.01120,2.00000
2.7240,0.01856,2.93354,1.05156,2.00000
2.7743,0.02723,3.01930,1.08974,2.00000
2.8246,0.02774,3.06001,1.12356,2.00000
2.8749,0.02760,3.09034,1.14646,2.00000
2.9254,0.02826,3.08343,1.16064,2.00000
2.9758,0.03040,3.07798,1.12574,2.00000
3.0262,0.03060,3.08705,1.12792,0.00000
3.0767,0.02840,3.07620,1.16610,0.00000
3.1274,0.02734,3.06681,1.20646,0.00000
3.1778,0.02439,2.62677,1.18682,0.00000
3.2283,0.02320,1.67855,0.94793,0.00000
3.2787,0.01032,0.46287,0.23126,0.00000
3.3291,0.00294,0.07012,-0.16908,0.00000
3.3794,-0.00149,-0.13685,-0.08399,0.00000
3.4297,-0.00364,-0.14284,-0.02727,0.00000
3.4801,-0.00289,-0.07093,0.01309,0.00000
3.5304,-0.00142,-0.03476,-0.01854,0.00000
3.5808,-0.00049,-0.01192,0.00654,0.00000
3.6312,-0.00024,-0.00584,-0.00109,0.00000
3.6815,-0.00008,-0.00200,-0.00000,0.00000
3.7319,-0.00004,-0.00098,-0.00000,0.00000
3.7823,-0.00001,-0.00034,0.00218,0.00000
3.8327,-0.00001,-0.00017,0.00109,0.00000
3.8831,-0.00000,-0.00006,0.00218,0.00000
3.9335,-0.00000,-0.00003,-0.00000,0.00000
3.9839,-0.00000,-0.00001,0.00218,0.00000
4.0343,-0.00000,-0.00000,0.00109,0.00000
