t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4534,-0.00000,-0.00000,0.00327,0.00000
-0.4030,-0.00000,-0.00000,-0.00000,0.00000
-0.3526,-0.00000,-0.00000,-0.00000,0.00000
-0.3022,-0.00000,-0.00000,-0.00109,0.00000
-0.2520,-0.00000,-0.00000,-0.00218,0.00000
-0.2016,-0.00000,-0.00000,0.00218,0.00000
-0.1512,-0.00000,-0.00000,-0.00000,0.00000
-0.1009,-0.00000,-0.00000,-0.00000,0.00000
-0.0505,-0.00000,-0.00000,-0.00109,0.00000
-0.0001,-0.00000,-0.00000,-0.00000,0.00000
0.0502,-0.00000,-0.00000,-0.00000,1.50000
0.1006,-0.00000,-0.00000,-0.00218,1.50000
0.1509,-0.00000,-0.00000,-0.00000,1.50000
0.2013,0.00097,0.64669,-0.00000,1.50000
0.2517,0.00683,1.54922,0.22798,1.50000
0.3019,0.00934,1.92658,0.70468,1.50000
0.3525,0.01207,2.32194,0.83994,1.50000
0.4027,0.01425,2.52230,0.91630,1.50000
0.4530,0.01695,2.76096,0.98066,1.50000
0.5035,0.01704,2.88499,1.01884,1.50000
0.5540,0.01529,3.03040,1.12792,1.50000
0.6044,0.01738,3.09451,1.16392,1.50000
0.6547,0.01835,3.15095,1.17701,1.50000
0.7050,0.01659,3.16155,1.17155,1.50000
0.7557,0.01346,3.18363,1.18464,1.50000
0.8060,0.01185,3.21233,1.26536,1.50000
0.8563,0.01744,3.23170,1.22718,1.50000
0.9066,0.02157,3.21309,1.17155,1.50000
0.9571,0.02599,3.17624,1.14537,1.50000
1.0074,0.02307,3.15443,1.15410,1.50000
1.0577,0.01405,3.21721,1.32754,1.50000
1.1080,0.01037,3.25784,1.32427,1.50000
1.1585,0.01928,3.27614,1.25227,1.50000
1.2089,0.02653,3.26734,1.13446,1.50000
1.2592,0.02892,3.27661,1.12356,1.50000
1.3095,0.02062,3.27327,1.21191,1.50000
1.3601,0.00734,3.31380,1.37772,1.50000
1.4105,0.00240,3.31314,1.36027,1.50000
1.4609,0.01130,3.29511,1.29154,1.50000
1.5113,0.02239,3.28233,1.20537,1.50000
1.5619,0.03070,3.26916,1.19664,1.50000
1.6123,0.02732,3.26586,1.33518,1.50000
1.6627,0.01464,3.31382,1.39408,1.50000
1.7131,0.00832,3.34791,1.43662,1.50000
1.7637,0.01345,3.38310,1.42463,1.50000
1.8141,0.02521,3.36248,1.32972,1.50000
1.8645,0.04329,3.33980,1.22282,1.50000
1.9149,0.04514,3.30081,1.17264,1.50000
1.9656,0.03057,3.27960,1.27845,1.50000
2.0159,0.01561,3.26334,1.39735,1.50000
2.0663,0.00389,3.24965,1.39517,1.50000
2.1167,0.01173,3.22188,1.18901,1.50000
2.1676,0.04012,3.17550,1.03411,1.50000
2.2179,0.05615,3.19490,0.98066,1.50000
2.2683,0.05361,3.16446,1.06901,1.50000
2.3187,0.03489,3.17729,1.34063,1.50000
2.3694,0.00682,3.26012,1.43662,1.50000
2.4198,0.00214,3.27544,1.44317,1.50000
2.4701,0.02982,3.18891,1.30136,1.50000
2.5205,0.05574,3.23542,1.03520,1.50000
2.5712,0.07785,3.26202,0.94139,1.50000
2.6216,0.06431,3.16413,0.98393,1.50000
2.6720,0.02183,3.13136,1.35590,1.50000
2.7223,-0.00130,3.23457,1.52280,1.50000
2.7730,-0.00267,3.27591,1.54680,1.50000
2.8234,0.02628,3.22279,1.04720,1.50000
2.8739,0.08015,3.33147,0.78431,1.50000
2.9243,0.10085,3.39758,0.41342,1.50000
2.9749,0.08136,3.29427,0.83121,1.50000
3.0253,0.04701,3.24090,1.13665,0.00000
3.0757,0.00012,3.37682,1.50971,0.00000
3.1261,-0.01108,3.48533,1.78678,0.00000
3.1266,0.02670,3.36961,1.46935,0.00000
3.1770,0.07774,3.13024,0.88575,0.00000
3.2273,0.14398,2.25733,0.58032,0.00000
3.2777,0.13390,1.59097,0.14181,0.00000
3.3280,0.06566,0.57363,0.38506,0.00000
3.3784,0.03103,0.17282,-0.03382,0.00000
3.4288,0.00672,-0.03195,-0.17235,0.00000
3.4791,0.00038,-0.04471,-0.05890,0.00000
3.5295,-0.00112,-0.01642,0.01745,0.00000
3.5798,-0.00055,-0.00805,0.01854,0.00000
3.6301,-0.00019,-0.00276,-0.01418,0.00000
3.6804,-0.00009,-0.00135,-0.00327,0.00000
3.7307,-0.00003,-0.00046,-0.00327,0.00000
3.7811,-0.00002,-0.00023,0.00436,0.00000
3.8315,-0.00001,-0.00008,-0.00000,0.00000
3.8818,-0.00000,-0.00004,-0.00327,0.00000
3.9322,-0.00000,-0.00001,-0.00000,0.00000
3.9825,-0.00000,-0.00001,-0.00218,0.00000
4.0329,-0.00000,-0.00000,-0.00109,0.00000
