pwm,direction,v_left_mps,v_right_mps,v_left_std,v_right_std,n_samples,dt_elapsed_s
0,fwd,0.0,0.0,0.0,0.0,13,0.6128760700012208
5,fwd,0.0,0.0,0.0,0.0,13,0.6101763499973458
10,fwd,0.0,0.0,0.0,0.0,13,0.610926360997837
15,fwd,0.0,0.0,0.0,0.0,13,0.6109433789970353
20,fwd,0.0,0.0,0.0,0.0,13,0.6110089520007023
25,fwd,0.0,0.0,0.0,0.0,13,0.6072262029992999
30,fwd,0.0,0.0,0.0,0.0,13,0.6106126939994283
35,fwd,0.0,0.0,0.0,0.0,14,0.61067259900301
40,fwd,0.0,0.0,0.0,0.0,13,0.6108003190020099
45,fwd,-1.782995761878874e-15,7.923518814094902e-08,4.12718279715587e-15,1.7246158245305002e-07,13,0.6125203060000786
50,fwd,-1.630827111331917e-25,1.1370523301482068e-18,4.151926118294772e-25,2.4748833048868297e-18,13,0.6096460859989747
55,fwd,3.286297341688833e-37,1.6317092829959036e-29,9.952958774572483e-37,3.5515428667647827e-29,13,0.6102884140054812
60,fwd,-5.148282320638507e-16,4.3074854428278645e-08,1.5270342401140694e-15,8.798187836773266e-08,13,0.6105555210015154
65,fwd,-6.652891700510377e-26,6.181390432982858e-19,1.5230591659822042e-25,1.2625703423845395e-18,13,0.6108587780036032
70,fwd,-5.140227995534669e-15,3.818800747942851e-07,1.8374491451790773e-14,7.800032658955736e-07,13,0.6064138500005356
75,fwd,7.480041057977145e-07,-2.0609128738750418e-14,1.5278242341793408e-06,5.133263403890613e-14,13,0.6100964670040412
80,fwd,9.967457388260685e-18,1.712418040713391e-24,2.130733897030169e-17,3.6316324907940225e-24,14,0.6114219920054893
85,fwd,4.51814579099706e-11,0.002768176907374604,1.3467055111317824e-10,0.0028130800109337694,13,0.6101687240006868
90,fwd,2.1309326626510527e-17,6.438256418712301e-11,4.708163516997541e-17,1.401336847545545e-10,13,0.6105014799977653
95,fwd,5.152499042570508e-29,9.239119233197247e-22,1.2267684767223873e-28,2.0109665274349018e-21,13,0.6097850949954591
100,fwd,0.0023076940544683915,6.316874457511177e-11,0.0030126483081158585,8.820768948125395e-11,13,0.6111861009994755
105,fwd,3.6809080160163e-12,8.263538577330786e-20,7.51838175000503e-12,1.965685774032385e-19,13,0.6101529610023135
